C	Month	Day	Hour	Minute	DOY	TOD	DEC	zm	hc	z0	umean	h	ol	sigmav	ustar	wind_dir	Incident Solar
								2	0.4	0.06	2.30199	3000	7.97348	0.328162	0.205396	290.351	
								2	0.4	0.06	2.36521	3000	9.33649	0.347105	0.211098	287.676	
								2	0.4	0.06	3.3977	3000	28.2863	0.572172	0.371717	281.431	
								2	0.4	0.06	3.23245	3000	29.2264	0.511538	0.347736	280.39	
								2	0.4	0.06	2.97348	3000	23.1505	0.447355	0.304483	276.547	
								2	0.4	0.06	2.9746	3000	26.691	0.475556	0.318756	279.515	
								2	0.4	0.06	0.747629	3000	36.6834	0.664453	0.224289	220.316	
								2	0.4	0.06	1.07906	3000	10.1164	0.442671	0.0907938	265.71	
								2	0.4	0.06	0.860074	3000	-45.2788	0.334148	0.0831365	223.509	
								2	0.4	0.06	0.431722	3000	0.917674	0.568358	0.053849	216.833	
								2	0.4	0.06	1.31995	3000	2.7097	0.15822	0.0645073	273.777	
								2	0.4	0.06	0.859643	3000	-1.893	0.119685	0.0336641	275.108	
								2	0.4	0.06	1.42337	3000	0.0278852	0.425104	0.01491	298.066	
								2	0.4	0.06	1.43249	3000	3.75264	0.398776	0.0879614	299.192	
								2	0.4	0.06	1.84251	3000	10.5583	0.301342	0.193342	286.472	
								2	0.4	0.06	0.893819	3000	9.56217	0.41524	0.137286	339.146	
								2	0.4	0.06	0.911368	3000	17.9488	0.239883	0.0583713	314.508	
								2	0.4	0.06	0.451307	3000	3.05982	0.478733	0.0755381	4.93097	
								2	0.4	0.06	0.591712	3000	50.8484	0.282236	0.083427	111.706	
								2	0.4	0.06	0.46063	3000	6.44943	0.360605	0.0491136	16.8198	
								2	0.4	0.06	0.482432	3000	0.209442	0.158639	0.0236581	246.487	
								2	0.4	0.06	0.535158	3000	26.3141	0.193234	0.0634042	185.181	
								2	0.4	0.06	0.606645	3000	33.4066	0.203152	0.050565	251.606	
								2	0.4	0.06	0.731921	3000	16.3759	0.549753	0.108579	41.2442	
								2	0.4	0.06	1.02044	3000	11.6439	0.525814	0.106749	356.977	
								2	0.4	0.06	0.761267	3000	-7.33217	0.175087	0.0555805	319.09	
								2	0.4	0.06	0.344412	3000	83.4234	0.175678	0.105092	9.86292	
								2	0.4	0.06	0.416588	3000	-3.83904	0.143554	0.0823827	338.244	
								2	0.4	0.06	1.02439	3000	-4.78459	0.259234	0.0848095	316.404	
								2	0.4	0.06	1.46513	3000	-44.9751	0.405359	0.199911	341.578	
								2	0.4	0.06	2.39427	3000	-44.0499	0.61127	0.336921	8.54369	
								2	0.4	0.06	2.06657	3000	-30.3536	0.621295	0.308928	358.301	
								2	0.4	0.06	1.94395	3000	-19.8379	0.582615	0.279348	11.98	
								2	0.4	0.06	1.37664	3000	-10.232	0.480827	0.243887	29.8892	
								2	0.4	0.06	1.4693	3000	-10.9674	0.557347	0.244332	16.6406	
								2	0.4	0.06	2.30598	3000	-23.9269	0.636075	0.314966	10.179	
								2	0.4	0.06	1.67498	3000	-13.8567	0.624563	0.26213	8.39899	
								2	0.4	0.06	1.83289	3000	-28.6	0.80681	0.250998	354.126	
								2	0.4	0.06	1.74604	3000	-27.0609	0.724921	0.246514	359.316	
								2	0.4	0.06	2.1394	3000	181.123	0.811217	0.262688	347.012	
								2	0.4	0.06	2.10294	3000	27.1627	0.532119	0.213846	341.637	
								2	0.4	0.06	2.30436	3000	47.406	0.690896	0.2746	349.799	
								2	0.4	0.06	2.12562	3000	441.528	0.706152	0.2839	356.746	
								2	0.4	0.06	2.1736	3000	22.4587	0.558312	0.252625	347.204	
								2	0.4	0.06	2.11428	3000	28.7075	0.484689	0.262114	356.392	
								2	0.4	0.06	1.59906	3000	14.2159	0.345394	0.179621	359.767	
								2	0.4	0.06	1.04088	3000	9.77467	0.29229	0.1362	25.5907	
								2	0.4	0.06	0.24004	3000	10.6232	0.460674	0.14748	43.5899	
								2	0.4	0.06	1.76305	3000	1.29604	0.345547	0.0726717	259.279	
								2	0.4	0.06	1.73504	3000	1.98953	0.305824	0.0803366	287.173	
								2	0.4	0.06	1.74702	3000	2.32817	0.243113	0.0820038	267.449	
								2	0.4	0.06	1.87352	3000	2.69017	0.231872	0.0927015	265.934	
								2	0.4	0.06	1.55964	3000	3.63461	0.437247	0.106894	283.036	
								2	0.4	0.06	1.79168	3000	4.88105	0.28544	0.127135	272.029	
								2	0.4	0.06	1.9046	3000	6.17444	0.247968	0.153528	273.692	
								2	0.4	0.06	1.8629	3000	6.0544	0.258128	0.142911	276.849	
								2	0.4	0.06	1.61289	3000	3.78916	0.191422	0.10832	281.568	
								2	0.4	0.06	2.01832	3000	5.85729	0.249295	0.15589	265.105	
								2	0.4	0.06	1.78354	3000	4.11209	0.326514	0.119396	275.631	
								2	0.4	0.06	1.75179	3000	4.2029	0.241269	0.123389	274.823	
								2	0.4	0.06	1.84133	3000	5.75933	0.251362	0.148695	279.009	
								2	0.4	0.06	1.87186	3000	5.13883	0.259329	0.142097	274.281	
								2	0.4	0.06	0.632927	3000	-133.525	0.652367	0.121627	154.178	
								2	0.4	0.06	0.760623	3000	7.58275	0.390429	0.123074	103.207	
								2	0.4	0.06	0.399367	3000	2.16323	0.351427	0.0426568	56.5925	
								2	0.4	0.06	0.0559489	3000	81.5501	0.458642	-9999	162.833	
								2	0.4	0.06	0.514457	3000	2.83744	0.223204	0.0805966	160.211	
								2	0.4	0.06	0.126658	3000	-9.77288	0.500236	-9999	88.2937	
								2	0.4	0.06	0.201548	3000	-1.44608	0.411522	-9999	16.7644	
								2	0.4	0.06	0.381403	3000	2.24171	0.324894	0.0654287	94.8696	
								2	0.4	0.06	0.428245	3000	33.8482	0.444651	0.158054	147.549	
								2	0.4	0.06	0.632606	3000	-19.8247	0.269472	0.0788705	208.5	
								2	0.4	0.06	0.638155	3000	11.0467	0.239034	0.0622281	240.966	
								2	0.4	0.06	0.645096	3000	1.75522	0.157177	0.0209084	242.643	
								2	0.4	0.06	0.165227	3000	-3.74166	0.460999	0.0597672	67.0541	
								2	0.4	0.06	0.34476	3000	-1.53462	0.316868	0.0662223	45.4384	
								2	0.4	0.06	0.11163	3000	-4.88534	0.156302	-9999	293.353	
								2	0.4	0.06	0.501738	3000	1.73299	0.258963	0.0446909	295.256	
								2	0.4	0.06	0.606383	3000	-5.32602	0.31396	0.101189	273.737	
								2	0.4	0.06	0.749264	3000	-0.669625	0.271662	0.0589612	272.785	
								2	0.4	0.06	0.810784	3000	-1.5591	0.292984	0.080201	285.577	
								2	0.4	0.06	0.311069	3000	-2.0095	0.527566	0.125713	207.779	
								2	0.4	0.06	0.956131	3000	-5.10232	0.41145	0.111095	276.603	
								2	0.4	0.06	1.17097	3000	-12.3989	0.522369	0.136893	302.979	
								2	0.4	0.06	1.99066	3000	88.2826	0.55412	0.195474	313.079	
								2	0.4	0.06	1.69302	3000	32.7635	0.682089	0.189837	321.339	
								2	0.4	0.06	1.11187	3000	-15.4671	0.445029	0.185293	351.484	
								2	0.4	0.06	0.747625	3000	-5.64719	0.440805	0.177282	49.472	
								2	0.4	0.06	0.128381	3000	-21.1865	0.473601	-9999	72.8703	
								2	0.4	0.06	0.741895	3000	-88.5047	0.443556	0.11322	254.685	
								2	0.4	0.06	1.47243	3000	6.64497	0.539073	0.133659	244.65	
								2	0.4	0.06	2.15111	3000	16.8886	0.382587	0.229229	254.764	
								2	0.4	0.06	2.19278	3000	13.0905	0.340921	0.213236	261.436	
								2	0.4	0.06	2.43347	3000	12.9558	0.436639	0.241829	281.601	
								2	0.4	0.06	2.44982	3000	12.4215	0.400146	0.24719	284.73	
								2	0.4	0.06	2.58743	3000	13.5628	0.390675	0.264469	287.669	
								2	0.4	0.06	1.83987	3000	4.92632	0.238236	0.13295	283.738	
								2	0.4	0.06	2.32076	3000	8.18094	0.333666	0.196925	278.483	
								2	0.4	0.06	2.72394	3000	16.1513	0.424745	0.279109	280.584	
								2	0.4	0.06	2.47804	3000	14.4012	0.389052	0.243461	286.548	
								2	0.4	0.06	1.66271	3000	5.39364	0.448807	0.143557	278.545	
								2	0.4	0.06	1.56249	3000	6.80497	0.322087	0.154696	292.496	
								2	0.4	0.06	0.556144	3000	2.14199	0.247689	0.0816159	140.227	
								2	0.4	0.06	0.445139	3000	44.0985	0.420099	0.099467	265.009	
								2	0.4	0.06	1.27366	3000	0.798049	0.19132	0.0605444	282.374	
								2	0.4	0.06	0.409084	3000	-8.01386	0.328958	0.0544899	228.155	
								2	0.4	0.06	0.923756	3000	3.64134	0.31194	0.085	274.586	
								2	0.4	0.06	0.581979	3000	17.5599	0.370161	0.0576824	260.476	
								2	0.4	0.06	0.905696	3000	0.561216	0.246428	0.0403118	227.369	
								2	0.4	0.06	1.07818	3000	0.961725	0.396566	0.0594314	236.1	
								2	0.4	0.06	1.91099	3000	11.078	0.276663	0.181161	273.838	
								2	0.4	0.06	2.91106	3000	36.1488	0.507658	0.323622	287.564	
								2	0.4	0.06	3.16167	3000	46.2469	0.607256	0.35995	285.295	
								2	0.4	0.06	3.66035	3000	79.4355	0.64759	0.424241	292.453	
								2	0.4	0.06	3.55834	3000	76.8476	0.686932	0.406558	290.677	
								2	0.4	0.06	3.62334	3000	93.1407	0.750555	0.426623	287.234	
								2	0.4	0.06	4.29312	3000	125.672	0.775665	0.474791	291.382	
								2	0.4	0.06	3.69807	3000	96.5898	0.702683	0.408138	291.903	
								2	0.4	0.06	1.17862	3000	49.635	0.551006	0.273992	259.332	
								2	0.4	0.06	0.577298	3000	14.6065	0.665534	0.148884	226.134	
								2	0.4	0.06	0.82275	3000	1.25118	0.221498	0.0442631	262.799	
								2	0.4	0.06	0.872084	3000	3.42923	0.329109	0.064143	259.881	
								2	0.4	0.06	1.29234	3000	20.4857	0.318624	0.152402	279.664	
								2	0.4	0.06	1.51996	3000	63.5096	0.404831	0.165865	275.523	
								2	0.4	0.06	1.98912	3000	988.113	0.465458	0.208732	270.52	
								2	0.4	0.06	2.26448	3000	-96.7843	0.584113	0.277111	273.381	
								2	0.4	0.06	2.36528	3000	-40.5324	0.659885	0.277966	273.924	
								2	0.4	0.06	2.66193	3000	-42.2973	0.675462	0.314522	291.759	
								2	0.4	0.06	3.45667	3000	-76.5143	0.868779	0.415364	293.225	
								2	0.4	0.06	3.07732	3000	-55.7102	0.724353	0.370795	282.696	
								2	0.4	0.06	3.12926	3000	-60.94	0.802916	0.377026	287.073	
